tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,match_title,join_key,averageRating,numVotes
tt0107659,movie,Loaded Weapon 1,National Lampoon's: Loaded Weapon 1,0,1993,84,"Action,Comedy,Crime",National Lampoon's: Loaded Weapon 1,nationallampoonsloadedweapon1|1993,6.2,53150.0
tt0107798,movie,The Pelican Brief,The Pelican Brief,0,1993,141,"Crime,Drama,Mystery",The Pelican Brief,thepelicanbrief|1993,6.6,104326.0
tt0107818,movie,Philadelphia,Philadelphia,0,1993,125,Drama,Philadelphia,philadelphia|1993,7.7,274648.0
tt0107822,movie,The Piano,The Piano,0,1993,121,"Drama,Music,Romance",The Piano,thepiano|1993,7.5,101505.0
tt0108041,movie,Sankofa,Sankofa,0,1993,125,Drama,Sankofa,sankofa|1993,7.0,898.0
tt0108052,movie,Schindler's List,Schindler's List,0,1993,195,"Biography,Drama,History",Schindler's List,schindlerslist|1993,9.0,1587814.0
tt0108065,movie,Searching for Bobby Fischer,Searching for Bobby Fischer,0,1993,109,"Biography,Drama,Sport",Searching for Bobby Fischer,searchingforbobbyfischer|1993,7.3,44765.0
tt0108162,movie,Sliver,Sliver,0,1993,107,"Drama,Thriller",Sliver,sliver|1993,5.1,37643.0
tt0108550,movie,What's Eating Gilbert Grape,What's Eating Gilbert Grape,0,1993,118,Drama,What's Eating Gilbert Grape,whatseatinggilbertgrape|1993,7.7,269338.0
tt0109117,movie,Andaz Apna Apna,Andaz Apna Apna,0,1994,160,"Action,Comedy,Romance",Andaz Apna Apna,andazapnaapna|1994,8.0,57989.0
tt0109134,movie,Anjaam,Anjaam,0,1994,170,"Crime,Drama,Thriller",Anjaam,anjaam|1994,6.6,7927.0
tt0109444,movie,Clear and Present Danger,Clear and Present Danger,0,1994,141,"Action,Crime,Drama",Clear and Present Danger,clearandpresentdanger|1994,6.9,116803.0
tt0109506,movie,The Crow,The Crow,0,1994,102,"Action,Crime,Drama",The Crow,thecrow|1994,7.5,231692.0
tt0109813,movie,The Flintstones,The Flintstones,0,1994,91,"Comedy,Family,Fantasy",The Flintstones,theflintstones|1994,5.1,92352.0
tt0109831,movie,Four Weddings and a Funeral,Four Weddings and a Funeral,0,1994,117,"Comedy,Drama,Romance",Four Weddings and a Funeral,fourweddingsandafuneral|1994,7.1,182577.0
tt0110064,movie,House Party 3,House Party 3,0,1994,100,"Comedy,Music",House Party 3,houseparty3|1994,4.7,5808.0
tt0110076,movie,Hum Aapke Hain Koun..!,Hum Aapke Hain Koun..!,0,1994,206,"Comedy,Drama,Musical",Hum Aapke Hain Koun..!,humaapkehainkoun|1994,7.5,24332.0
tt0110222,movie,Kabhi Haan Kabhi Naa,Kabhi Haan Kabhi Naa,0,1994,158,"Comedy,Drama,Music",Kabhi Haan Kabhi Naa,kabhihaankabhinaa|1994,7.6,20408.0
tt0110443,movie,Major Payne,Major Payne,0,1995,95,"Adventure,Comedy,Family",Major Payne,majorpayne|1995,6.3,43402.0
tt0110545,movie,The Emigrant,Al-mohager,0,1994,129,Drama,The Emigrant,theemigrant|1994,6.5,1224.0
tt0110613,movie,My Girl 2,My Girl 2,0,1994,99,"Comedy,Drama,Family",My Girl 2,mygirl2|1994,5.3,22213.0
tt0110657,movie,The Next Karate Kid,The Next Karate Kid,0,1994,107,"Action,Drama,Family",The Next Karate Kid,thenextkaratekid|1994,4.6,38240.0
tt0110852,movie,Love on Delivery,Poh wai ji wong,0,1994,100,"Action,Comedy,Romance",Love on Delivery,loveondelivery|1994,6.9,4284.0
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,154,"Crime,Drama",Pulp Fiction,pulpfiction|1994,8.8,2440872.0
tt0110997,movie,The River Wild,The River Wild,0,1994,111,"Adventure,Crime,Thriller",The River Wild,theriverwild|1994,6.5,53690.0
tt0111282,movie,Stargate,Stargate,0,1994,121,"Action,Adventure,Sci-Fi",Stargate,stargate|1994,7.0,219742.0
tt0111756,movie,Wyatt Earp,Wyatt Earp,0,1994,191,"Adventure,Biography,Drama",Wyatt Earp,wyattearp|1994,6.7,59600.0
tt0111780,movie,Yaar Gaddar,Yaar Gaddar,0,1994,155,"Action,Drama,Mystery",Yaar Gaddar,yaargaddar|1994,3.7,261.0
tt0112159,tvSeries,Neon Genesis Evangelion,Shinseiki Evangelion,0,1995,24,"Action,Animation,Drama",Neon Genesis Evangelion,neongenesisevangelion|1995,8.5,111486.0
tt0112346,movie,The American President,The American President,0,1995,114,"Comedy,Drama,Romance",The American President,theamericanpresident|1995,6.9,65503.0
tt0112442,movie,Bad Boys,Bad Boys,0,1995,119,"Action,Comedy,Crime",Bad Boys,badboys|1995,6.8,316276.0
tt0112453,movie,Balto,Balto,0,1995,78,"Adventure,Animation,Drama",Balto,balto|1995,7.1,52008.0
tt0112459,movie,Barsaat,Barsaat,0,1995,166,"Action,Romance",Barsaat,barsaat|1995,5.6,1562.0
tt0112553,movie,Bombay,Bombay,0,1995,130,"Drama,Musical,Romance",Bombay,bombay|1995,8.1,15203.0
tt0112715,movie,Congo,Congo,0,1995,109,"Action,Adventure,Mystery",Congo,congo|1995,5.3,52655.0
tt0113189,movie,GoldenEye,GoldenEye,0,1995,130,"Action,Adventure,Thriller",GoldenEye,goldeneye|1995,7.2,286973.0
tt0113280,movie,Heavy,Heavy,0,1995,105,"Drama,Romance",Heavy,heavy|1995,6.7,6325.0
tt0113326,movie,Rumble in the Bronx,Hung fan kui,0,1995,87,"Action,Comedy,Crime",Rumble in the Bronx,rumbleinthebronx|1995,6.8,49722.0
tt0113347,movie,How to Make an American Quilt,How to Make an American Quilt,0,1995,117,"Comedy,Drama,Romance",How to Make an American Quilt,howtomakeanamericanquilt|1995,6.3,13137.0
tt0113419,movie,The Indian in the Cupboard,The Indian in the Cupboard,0,1995,96,"Drama,Family,Fantasy",The Indian in the Cupboard,theindianinthecupboard|1995,6.0,33185.0
tt0113442,movie,It Takes Two,It Takes Two,0,1995,101,"Comedy,Family,Romance",It Takes Two,ittakestwo|1995,6.0,28484.0
tt0113537,movie,Kicking and Screaming,Kicking and Screaming,0,1995,96,"Comedy,Drama,Romance",Kicking and Screaming,kickingandscreaming|1995,6.6,16082.0
tt0113855,movie,Mortal Kombat,Mortal Kombat,0,1995,101,"Action,Adventure,Fantasy",Mortal Kombat,mortalkombat|1995,5.9,134515.0
